Date,Open,High,Low,Close,Volume
03-07-2023,44957.94922,45353.19922,44882.10156,45158.10156,228200
04-07-2023,45310.55078,45655.5,45000.25,45301.44922,463000
05-07-2023,45169.69922,45418.89844,45073.39844,45151.80078,366300
06-07-2023,45060.55078,45417.5,45042.60156,45339.89844,244900
07-07-2023,45118.05078,45227.25,44844.80078,44925,220900
10-07-2023,44958.64844,45184.30078,44721.89844,44860.85156,220900
11-07-2023,44998,45139.55078,44663.05078,44745.05078,209000
12-07-2023,44872.60156,44937.25,44562.39844,44639.44922,233100
13-07-2023,45009.30078,45085.14844,44612.19922,44665.05078,336800
14-07-2023,44860.64844,44923.85156,44547.80078,44819.30078,196300
17-07-2023,44951.19922,45556.44922,44695.05078,45449.75,245900
18-07-2023,45754.80078,45905.85156,45281.30078,45410.85156,307300
19-07-2023,45622.5,45707.39844,45433,45669.30078,261100
20-07-2023,45689.05078,46256.19922,45640.94922,46186.89844,315200
21-07-2023,46063.94922,46369.5,45925.89844,46075.19922,235600
24-07-2023,46131.89844,46191.5,45858.75,45923.05078,225800
25-07-2023,46154.69922,46156.10156,45622.85156,45845,228100
26-07-2023,45935.14844,46096.60156,45804.69922,46062.35156,298400
27-07-2023,46285.85156,46310.10156,45570.64844,45679.30078,320400
28-07-2023,45560.89844,45727.75,45238.80078,45468.10156,194700
31-07-2023,45546.35156,45694.89844,45359.75,45651.10156,247900
01-08-2023,45740,45782.75,45471.05078,45592.5,175200
02-08-2023,45234.64844,45404.89844,44720.89844,44995.69922,233600
03-08-2023,44862.85156,45038.44922,44279.39844,44513.44922,245800
04-08-2023,44754.75,45118.05078,44520.55078,44879.5,245200
07-08-2023,44993.69922,45011.35156,44773.85156,44837.5,200800
08-08-2023,44888.94922,45096.85156,44817.85156,44964.44922,229400
09-08-2023,44973.44922,44975,44533.75,44880.69922,177300
10-08-2023,44797.64844,44980.35156,44418.39844,44541.80078,232000
11-08-2023,44568.14844,44571.25,44120.89844,44199.10156,196900
14-08-2023,44066.60156,44212.75,43776.89844,44090.94922,172300
16-08-2023,43726.25,44002.80078,43600.35156,43946.39844,0
17-08-2023,43897.25,44071.85156,43745.10156,43891.35156,266400
18-08-2023,43724.75,43957.64844,43672.44922,43851.05078,167600
